Site Id,School Name,Site Name,Protocol,Data Count,Latitude,Longitude,Elevation
367161,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD110027,Land Covers,2.0,38.85284,-107.17804,2896.1
367174,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD112270,Land Covers,1.0,39.0717,-107.18244,2421.2
367160,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD117030,Land Covers,2.0,38.85569,-107.17006,2791.2
367192,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD121033,Land Covers,1.0,38.85848,-107.16553,2729.4
367194,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD122036,Land Covers,1.0,38.8612,-107.16446,2715.6
367165,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD122268,Land Covers,1.0,39.07011,-107.17083,2463.9
367197,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD126035,Land Covers,1.0,38.86038,-107.15983,2693.8
367159,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD126039,Land Covers,1.0,38.86399,-107.15994,2709.3
367183,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD142029,Land Covers,1.0,38.85532,-107.14124,2736.5
367182,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD157037,Land Covers,1.0,38.86284,-107.12418,2874.1
367205,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD158036,Land Covers,1.0,38.86196,-107.123,2846.1
367207,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD180031,Land Covers,1.0,38.85791,-107.09753,3007.1
367200,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD201028,Land Covers,1.0,38.85565,-107.07326,2955.0
367202,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD286036,Land Covers,1.0,38.86455,-106.97556,2699.3
367181,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD293078,Land Covers,1.0,38.90251,-106.96854,2861.6
366975,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD294074,Land Covers,1.0,38.89893,-106.96729,2844.0
367188,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD294075,Land Covers,1.0,38.89983,-106.96731,2852.2
367203,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD295073,Land Covers,1.0,38.89805,-106.96611,2847.3
367195,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD295074,Land Covers,1.0,38.89895,-106.96613,2852.1
367201,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD296073,Land Covers,1.0,38.89807,-106.96496,2863.6
367196,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD560140,Land Covers,1.0,38.96314,-106.66207,3005.2
367198,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD561142,Land Covers,1.0,38.96496,-106.66095,3009.2
367208,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD563144,Land Covers,1.0,38.96679,-106.65869,3006.1
367210,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD600122,Land Covers,1.0,38.94758,-106.61555,2979.9
367214,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD608112,Land Covers,1.0,38.9387,-106.60611,2961.8
366609,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD627321,Land Covers,1.0,39.12726,-106.58841,3663.8
366607,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD630322,Land Covers,1.0,39.12821,-106.58496,3627.0
366611,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD631319,Land Covers,1.0,39.12552,-106.58374,3553.8
366608,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD633324,Land Covers,1.0,39.13006,-106.58153,3573.4
367199,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD643054,Land Covers,1.0,38.887,-106.5646,2905.2
366610,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD647296,Land Covers,1.0,39.10505,-106.56478,3670.8
366613,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD647299,Land Covers,1.0,39.10776,-106.56484,3688.1
366612,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD665284,Land Covers,1.0,39.09452,-106.54374,3265.8
367185,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD771004,Land Covers,1.0,38.84384,-106.41617,3582.0
366473,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD815734,Land Covers,1.0,39.50206,-106.37826,2688.4
366470,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD834693,Land Covers,1.0,39.46539,-106.35545,2871.4
366614,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD838279,Land Covers,1.0,39.09249,-106.34366,2802.6
366471,College of Earth Ocean Atmospheric Sciences (CEOAS) GLOBE v-School,13SCD870577,Land Covers,1.0,39.36137,-106.31165,3172.3
